Strain	SampleID	intercept	slope	adj.r2	pval	log10_slope	max_median_ab	log10_max_median_ab
ESL0183	1.F.1.B	-0.109951136485533	0.234036876141912	0.999913759271476	0	-0.630715707362653	14041	4.14739803934765
ESL0183	1.F.1.C	0.00344699389367399	0.106785719141702	0.999770290232383	0	-0.971486823268627	6408.5	3.80675638865197
ESL0183	1.F.6.C	-1.64135956521782	0.152130098420045	0.999829965544	0	-0.817784853767049	7605	3.88109921838902
ESL0183	1.SWT.1.B	-0.783113809284187	0.12813977256618	0.999814166411513	0	-0.892316051167792	8968	3.95269559958692
ESL0183	1.SWT.2.C	1.59253064167418	0.330312320115357	0.999945404954318	0	-0.481075227524659	18168	4.25930712121168
ESL0183	1.SWT.4.D	0.579730353301926	0.237043782984859	0.999917446242452	0	-0.625171430561336	13040	4.1152775913959
ESL0183	1.SWT.5.C	-0.248722115745759	0.440436608667931	0.999965515492003	0	-0.356116590059728	26429.5	4.42208894711601
ESL0183	2.F.1.A	2.01824304253821	0.450598410027609	0.999971167983701	0	-0.346210345052166	27040.5	4.43201471778858
ESL0183	3.F.1.A	-1.92448882478849	0.241302563806777	0.999916980793852	0	-0.617438063747158	13270	4.12287092286444
ESL0183	3.F.1.D	-1.66660080706899	0.461543818568081	0.999971049446411	0	-0.335787061140907	27688.5	4.44229942886337
ESL0183	3.F.2.C	2.43923864456639	0.276691975486661	0.999932887175242	0	-0.558003435916503	15225	4.18255730130491
ESL0183	3.F.3.A	1.16560057679224	0.160648074260995	0.999859792710057	0	-0.794124476105842	8837.5	3.94632942680496
ESL0183	3.SWT.1.A	-2.91377126104659	0.541948621700879	0.999944773684749	0	-0.266041883884948	16253.5	4.21094689559271
ESL0183	3.SWT.1.B	0.73643835607523	0.217518885364094	0.999916351619621	0	-0.662503030877818	14133	4.1502343589579
ESL0183	3.SWT.1.C	-0.803275488052324	0.255096099783081	0.999766071644424	0	-0.593296181357419	6378	3.80468451490694
ESL0183	3.SWT.2.C	2.79096774192608	0.35877106451613	0.999675212251529	0	-0.445182590788809	5381	3.73086299204649
ESL0183	3.SWT.3.C	-3.18584474898708	0.316065388127852	0.999946699566287	0	-0.500223060528989	20541	4.31262158258698
ESL0183	4.F.1.C	-2.11741248101882	0.106847696867739	0.999812481622964	0	-0.971234834739144	6942	3.84148460933539
ESL0183	4.F.3.A	0.373182408084511	0.149014235039653	0.999840141055624	0	-0.826772242299974	8200.5	3.91384033294724
ESL0183	4.F.3.C	-0.767162162160516	0.157027675675677	0.999437823380343	0	-0.804023797692834	3141	3.4970679363985
ESL0183	4.F.3.D	-0.666454293655788	0.112376006232688	0.999586280983399	0	-0.949326406499229	3933	3.59472394640975
ESL0183	4.F.4.C	0.291241767643918	0.116647439345653	0.999818006928129	0	-0.933124790434387	6998.5	3.84500496693852
ESL0183	5.F.1.A	-2.20683566437436	0.412147610139863	0.999937424063555	0	-0.384947214092944	16486	4.21711529550768
ESL0183	5.F.3.A	-1.10691973968071	0.374631813449025	0.999866411243151	0	-0.426395345437274	9365	3.97150778171126
ESL0183	5.SWT.1.A	0.143620140324022	0.214432736775012	0.999902584267242	0	-0.668708911537921	12867	4.10947730095874
ESL0183	5.SWT.4.C	-0.305733237197762	0.0960438457101657	0.999764306765132	0	-1.01753045859767	5281	3.7227161674885
ESL0183	HF	-0.406986301369691	0.00912805479452055	0.984219598492399	0	-2.03962176156897	91	1.95904139232109
ESL0183	Mix_15_1	0.0544692082101289	0.0109387624633431	0.994740360238335	0	-1.96103180832636	328	2.51587384371168
ESL0183	Mix_15_2	-0.195091516562376	0.00659386199883794	0.994961086306909	0	-2.18086014633001	296	2.47129171105894
ESL0183	Mix_26	0.200423433697722	0.00321332546457517	0.98950745169901	0	-2.49304528431136	226	2.3541084391474
ESL1293	1.F.1.B	0.558019970262588	0.00974454068408732	0.997402605934685	0	-2.01123862684575	585	2.76715586608218
ESL1293	1.F.1.C	-0.0127310388681379	0.0187878138941997	0.998595554156244	0	-1.72612375044336	1124	3.05076631123304
ESL1293	1.F.6.C	-0.341779209014302	0.0108267624031397	0.997024031763784	0	-1.96550139385144	541	2.73319726510657
ESL1293	1.SWT.1.B	-0.325634996403294	0.0972724613393323	0.999761960886925	0	-1.01201009479003	6810	3.83314711191279
ESL1293	1.SWT.2.C	0.266418168711302	0.0954518392213408	0.999721768216388	0	-1.02021569895199	5253	3.72040740080311
ESL1293	1.SWT.4.D	1.53438356164631	0.0489533835616438	0.999469723646744	0	-1.31021728524252	2694	3.43039759138697
ESL1293	1.SWT.5.C	-0.0963586147739643	0.0997722481410644	0.999773489301324	0	-1.00099024183141	5988	3.77728179167101
ESL1293	2.F.1.A	-0.237724665388456	0.00721666730401515	0.9968632918497	0	-2.14166331567505	433	2.63648789635337
ESL1293	3.F.1.A	-0.625923576062719	0.0298833395818313	0.999197162029734	0	-1.52457087001205	1644	3.21590181320403
ESL1293	3.F.1.D	0.193227108595584	0.0765167765030791	0.999714574306202	0	-1.11624333420686	4593	3.66209644541792
ESL1293	3.F.2.C	0.922085075704216	0.0239944534967555	0.998830225593068	0	-1.61988913721088	1321	3.12090281761453
ESL1293	3.F.3.A	0.0521831290580725	0.0687780778658976	0.99958807644579	0	-1.16254996552911	3785	3.57806588383609
ESL1293	3.SWT.1.A	0.516199413489071	0.00771582404692082	0.992937262120721	0	-2.11261768464695	232	2.3654879848909
ESL1293	3.SWT.1.B	-0.334786910218875	0.0520867607946804	0.999565144810819	0	-1.28327264991493	3388	3.52994340165867
ESL1293	3.SWT.1.C	1.06167028199903	0.0732916312364427	0.998921319039041	0	-1.13494561219827	1837	3.26410915630581
ESL1293	3.SWT.2.C	-0.293440860214191	0.0277768817204301	0.994671360678155	0	-1.55631651049267	415.5	2.61857102812013
ESL1293	3.SWT.3.C	-0.339292237462405	0.0554156378274449	0.999582041238483	0	-1.25636766372217	3600.5	3.55636281525692
ESL1293	4.F.1.C	-0.717488584487603	0.0321965416967073	0.99929555547313	0	-1.49219077435064	2091.5	3.32045786891665
ESL1293	4.F.3.A	-1.1962018745453	0.0935690086517661	0.999730203093178	0	-1.02886797177732	5145.5	3.71142758253679
ESL1293	4.F.3.C	0.744054054055294	0.0520791081081083	0.998020082517622	0	-1.28333646197911	1043.5	3.01849245340147
ESL1293	4.F.3.D	2.37495844872177	0.129159721606649	0.999633314691873	0	-0.888872899740556	4523	3.65542658774592
ESL1293	4.F.4.C	-0.0660739324120949	0.0527057004461429	0.999566214306616	0	-1.27814241062389	3162	3.49996186559619
ESL1293	5.F.1.A	-0.225646853150281	0.038743938811189	0.998920567521329	0	-1.41179622984795	1549.5	3.1901915805753
ESL1293	5.F.3.A	0.3102928416489	0.00694113015184383	0.98850280216563	0	-2.15856981214603	173.5	2.23929947912689
ESL1293	5.SWT.1.A	0.949694072677638	0.0330070363288711	0.999194588630632	0	-1.48139346881721	1981	3.29688447553855
ESL1293	5.SWT.4.C	-0.187909156449442	0.039160196106705	0.99936930939244	0	-1.4071551420005	2154	3.33324569896196
ESL1293	HF	-0.299863013698341	0.0185745479452055	0.99153361908468	0	-1.73108174700436	186	2.26951294421792
ESL1293	Mix_15_1	0.0264633431078676	0.00874500293255131	0.993764741883859	0	-2.05824004054887	262	2.41830129131975
ESL1293	Mix_15_2	0.277887855894127	0.0149171324811158	0.997764757347217	0	-1.82631465322508	672	2.82736927305383
ESL1293	Mix_26	0.0357252920004477	0.00818096687109001	0.996016479961321	0	-2.08719536601514	571.5	2.7570162347313
ESL1297	1.F.1.B	-0.777671552967589	0.0861574457191401	0.999740670352719	0	-1.06470718490188	5169.5	3.71344853966223
ESL1297	1.F.1.C	1.62464414708865	0.13908118461865	0.999831505750219	0	-0.85673161888645	8346.5	3.92150439771773
ESL1297	1.F.6.C	-1.1001529636502	0.0791824818355635	0.999613353280421	0	-1.10137089017413	3960	3.59769518592551
ESL1297	1.SWT.1.B	-0.0934189035088869	0.00216769089956546	0.98785895992349	0	-2.66400264565007	152	2.18184358794477
ESL1297	1.SWT.2.C	-0.155371304974391	0.0244359444844989	0.998873406812542	0	-1.61197087020328	1344	3.12839926871781
ESL1297	1.SWT.4.D	0.517607786589952	0.0115805025234318	0.997619176875982	0	-1.93627259445848	637.5	2.80448018910599
ESL1297	1.SWT.5.C	0.00312194603874708	0.00170419524113019	0.984484142619359	0	-2.76848065177108	102	2.00860017176192
ESL1297	2.F.1.A	-0.272562141433755	0.0989919292542999	0.999776487554876	0	-1.00440021169742	5938.5	3.77367676080789
ESL1297	3.F.1.A	0.508207642403603	0.161585733958183	0.999864283873023	0	-0.791596984754084	8887	3.94875518016827
ESL1297	3.F.1.D	0.578469301072696	0.0568272060760557	0.999553702781116	0	-1.24544369562832	3409	3.53262700122889
ESL1297	3.F.2.C	-0.592148521984464	0.103375377793799	0.999785073559814	0	-0.985582890271682	5685.5	3.7547686638685
ESL1297	3.F.3.A	0.660878154298461	0.112986562364816	0.999773668139468	0	-0.946973204638983	6216	3.79351100579286
ESL1297	3.SWT.1.A	0.875689149545164	0.119834744868035	0.999555879112941	0	-0.921417244411428	3594.5	3.55563848794755
ESL1297	3.SWT.1.B	-0.762351598226582	0.127342357846671	0.999846181573906	0	-0.895027113084411	8278	3.91792542206474
ESL1297	3.SWT.1.C	-0.885574837304243	0.12915663340564	0.999482037419117	0	-0.88888328381908	3230.5	3.50926974537619
ESL1297	3.SWT.2.C	1.24602150537265	0.180221956989247	0.999190399017239	0	-0.744192298715679	2703	3.43184604569873
ESL1297	3.SWT.3.C	0.103127853813812	0.167243635424176	0.99987883265901	0	-0.776650400631914	10874.5	4.03640929760525
ESL1297	4.F.1.C	-0.217861491648707	0.0553669339902263	0.999629015585559	0	-1.2567495253953	3599	3.55618184665291
ESL1297	4.F.3.A	-0.0243576063335096	0.192229958183128	0.999875538521816	0	-0.716178928531469	10573	4.02419823220687
ESL1297	4.F.3.C	0.790945945947924	0.107951891891892	0.999064475995514	0	-0.966769742111506	2162	3.33485568961729
ESL1297	4.F.3.D	-1.64529085875992	0.130852051246538	0.999659793112842	0	-0.883219464937971	4581	3.66096029177608
ESL1297	4.F.4.C	-1.81132143608091	0.129585393031652	0.999832814524702	0	-0.887443949725243	7776.5	3.89078417633436
ESL1297	5.F.1.A	-1.41167832168208	0.055769050699301	0.999284402459852	0	-1.25360674800555	2229	3.34811006848024
ESL1297	5.F.3.A	0.984772234285811	0.230849232104122	0.999757362666533	0	-0.636671565745706	5770	3.76117581315573
ESL1297	5.SWT.1.A	-0.82317718284516	0.122578075207136	0.999818311508352	0	-0.911587202477162	7354	3.86652362553284
ESL1297	5.SWT.4.C	-1.24758759912081	0.218259096611391	0.999906677376434	0	-0.661027646702333	12004	4.07932598675282
ESL1297	HF	0.0332876712326294	0.0231351506849316	0.992697848135103	0	-1.635727667488	232	2.3654879848909
