1.F.1.B	1.F.1.C	1.F.6.C	1.SWT.1.B	1.SWT.2.C	1.SWT.4.D	1.SWT.5.C	2.F.1.A	3.F.1.A	3.F.1.D	3.F.2.C	3.F.3.A	3.SWT.1.A	3.SWT.1.B	3.SWT.1.C	3.SWT.2.C	3.SWT.3.C	4.F.1.C	4.F.3.A	4.F.3.C	4.F.3.D	4.F.4.C	5.F.1.A	5.F.3.A	5.SWT.1.A	5.SWT.4.C	HF	Mix_15_1	Mix_15_2	Mix_26
ESL0183	14602	6910	8173	10524	19519	13415	27930	27557	13421	28702	16244	9346	17227	15138	7194	6449	21488	6976	8843	3625	4438	7124	18515	10220	13829	5318	97	342	306	342
ESL1293	609	1214	581	7992	5640	2772	6327	441	1662	4763	1409	4004	246	3625	2072	496	3766	2102	5548	1204	5106	3219	1743	190	2129	2169	198	273	694	871
ESL1297	5372	8996	4254	178	1443	656	108	6052	8986	3536	6066	6572	3812	8862	3639	3238	11370	3616	11404	2494	5166	7915	2504	6298	7904	12086	247	459	705	1126
ESL0352	812	1722	1966	204	23	279	1346	43	1995	1802	603	154	25	1450	1226	53	543	6694	1212	2838	10740	5587	353	39	83	798	58	118	230	145
ESL1028	58	418	637	194	956	878	972	37	0	74	3	29	13	344	91	0	30	480	168	217	0	748	198	7	72	372	154	26	21	540
ESL0094	1139	4647	2235	3	4	1	5	21	106	278	118	291	29	1117	143	1	415	3934	1093	954	856	3486	705	32	72	961	62	1207	1202	1011
ESL0672	8138	10	10989	13	7	5069	14	15691	1962	4541	4618	14463	6	6763	11	789	37	3	12873	152	14	5538	5	24	15894	4415	2994	6164	11127	35590
ESL0142	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	4892	8536	3047
ESL0172	10	0	1	1	0	0	0	1322	7	0	6806	4643	0	0	0	0	8	1	164	0	0	786	3	0	0	3	354	895	1238	3346
ESL0177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	456	1558	2024	6172
ESL0309	3	1	1	7	7	4	4	3003	7898	5	5	3067	1015	2798	5	3501	22	9153	2748	2815	1423	1053	2	21	7	9	608	2589	3409	10180
ESL1295	6	0	0	0	0	0	0	43	295	0	0	2784	0	0	0	0	0	0	290	0	0	0	0	0	2	1	1518	3425	4697	14798
ESL0868	11600	15252	8839	21196	14324	13552	28	12	8	15	8	2306	2	9	15	2	31	5223	1840	540	10	21	5	2585	5869	3340	328	809	1500	2821
ESL0198	1122	1178	1573	227	1989	1641	384	589	1470	716	1250	641	308	2996	399	410	966	3630	795	904	1411	1888	1641	751	878	2090	296	1520	1550	2450
ESL0199	1273	2000	1641	49	289	652	145	382	1515	366	1298	589	662	2789	583	264	652	2499	783	610	1168	2075	1094	586	1045	1243	356	1641	1401	2673
ESL1056	1732	2529	2119	458	725	1920	661	1256	1975	2005	2750	987	1144	4608	740	405	2667	4034	1754	1988	1730	3393	2593	679	151	1078	290	283	297	788
ESL0184	1818	6660	6	8	0	6	15	3	8	0	3375	976	0	812	68	17	1917	8	319	0	14	15	31	8	14	12	116	467	967	602
ESL1057	4424	2632	3760	13845	4690	6160	6234	1380	6788	896	3074	2496	3413	4421	2278	833	4747	3698	2771	1198	2632	3586	3328	1697	4908	4904	334	138	60	464
ESL1062	3158	1707	1811	12993	1950	2836	3436	1883	2523	7984	4382	1759	1582	3876	2554	980	1493	2977	3352	1411	2012	3832	5014	1918	4660	8206	106	54	22	163
ESL1083	3841	3076	1791	11863	3143	3175	6118	1106	4858	4919	5220	2001	2139	3868	1426	495	12947	3892	1480	1010	2662	3197	3308	1955	5054	3096	138	50	44	234
ESL1291	12	1	6	547	92	4	106	50	88	0	0	74	7	9	2	0	9	19	213	8	15	63	59	40	291	9	137	185	222	1452
ESL1292	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	65	26	16	0	112	0	0	340
ESL0284	0	1	0	169	5	19	451	17	0	1	2	7	13	0	2	1	6	0	0	0	2	4	2622	0	36	3064	1117	3210	5336	14859
ESL0024	0	0	3	258	14	6	16	4	0	0	0	30	24	0	0	0	0	0	8	0	0	1	548	16	1142	220	286	774	610	1942
ESL0186	2659	5723	3353	1439	4261	3533	9114	256	56	1599	1459	773	129	6102	5755	27	4882	6379	1670	1118	98	7551	604	188	419	1984	118	169	285	480
