SampleID	genome_depth	basename	Input	Primers removed	Post processing	Denoising	Chimera removal	AssignTaxonomy	Barcode	Run	old_filename	new_filename	Barcode_Quality	HiFi_Reads	HiFi_Mean_Read_Length	HiFi_Mean_Read_Quality	HiFi_Yield	Hive	Group	Bee	Timepoint	DPC	Replicate	SampleType	plate_extraction	plate_libraryprep
1.F.1.B	62388	1.F.1.B.fastq.gz	320379	313615	260957	257490	220633	217748	Kinnex16S_Fwd_04--Kinnex16S_Rev_23	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_04--Kinnex16S_Rev_23.hifi_reads.fastq.gz	1.F.1.B.fastq.gz	99.46733712	320000	1510	Q33	484032564	1	F	1	B	6	26/09/2024	colonized_bee	1	1
1.F.1.C	64681	1.F.1.C.fastq.gz	323144	316553	264023	261343	234319	231085	Kinnex16S_Fwd_05--Kinnex16S_Rev_31	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_05--Kinnex16S_Rev_31.hifi_reads.fastq.gz	1.F.1.C.fastq.gz	99.49068217	323000	1514	Q33	489260334	1	F	1	C	9	26/09/2024	colonized_bee	2	2
1.F.6.C	53739	1.F.6.C.fastq.gz	264379	259481	216202	212970	190778	189506	Kinnex16S_Fwd_04--Kinnex16S_Rev_39	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_04--Kinnex16S_Rev_39.hifi_reads.fastq.gz	1.F.6.C.fastq.gz	99.47556349	264000	1509	Q33	399013819	1	F	6	C	9	26/09/2024	colonized_bee	3	3
1.SWT.1.B	82170	1.SWT.1.B.fastq.gz	343148	338118	280345	277638	246746	245953	Kinnex16S_Fwd_03--Kinnex16S_Rev_34	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_03--Kinnex16S_Rev_34.hifi_reads.fastq.gz	1.SWT.1.B.fastq.gz	99.48356977	343000	1502	Q33	515565735	1	SWT	1	B	6	26/09/2024	colonized_bee	2	2
1.SWT.2.C	59081	1.SWT.2.C.fastq.gz	289262	284746	237434	235475	208961	208748	Kinnex16S_Fwd_05--Kinnex16S_Rev_35	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_05--Kinnex16S_Rev_35.hifi_reads.fastq.gz	1.SWT.2.C.fastq.gz	99.4627362	289000	1513	Q33	437921631	1	SWT	2	C	9	26/09/2024	colonized_bee	2	2
1.SWT.4.D	56578	1.SWT.4.D.fastq.gz	274222	269979	225028	221910	192284	191907	Kinnex16S_Fwd_07--Kinnex16S_Rev_38	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_07--Kinnex16S_Rev_38.hifi_reads.fastq.gz	1.SWT.4.D.fastq.gz	99.49096717	274000	1508	Q33	413780440	1	SWT	4	D	11	26/09/2024	colonized_bee	3	3
1.SWT.5.C	63414	1.SWT.5.C.fastq.gz	310042	305200	254469	253025	219860	219457	Kinnex16S_Fwd_05--Kinnex16S_Rev_36	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_05--Kinnex16S_Rev_36.hifi_reads.fastq.gz	1.SWT.5.C.fastq.gz	99.42391031	310000	1519	Q33	471193123	1	SWT	5	C	9	26/09/2024	colonized_bee	2	2
2.F.1.A	61148	2.F.1.A.fastq.gz	315102	307901	257194	255283	235073	233728	Kinnex16S_Fwd_01--Kinnex16S_Rev_34	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_01--Kinnex16S_Rev_34.hifi_reads.fastq.gz	2.F.1.A.fastq.gz	99.47146638	315000	1515	Q33	477491359	2	F	1	A	4	15/07/2024	colonized_bee	2	2
3.F.1.A	55621	3.F.1.A.fastq.gz	270862	266949	222170	219522	184434	184034	Kinnex16S_Fwd_02--Kinnex16S_Rev_38	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_02--Kinnex16S_Rev_38.hifi_reads.fastq.gz	3.F.1.A.fastq.gz	99.47504633	271000	1512	Q33	409733496	3	F	1	A	4	15/07/2024	colonized_bee	1	3
3.F.1.D	62202	3.F.1.D.fastq.gz	322723	317094	265031	262690	215764	215078	Kinnex16S_Fwd_07--Kinnex16S_Rev_36	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_07--Kinnex16S_Rev_36.hifi_reads.fastq.gz	3.F.1.D.fastq.gz	99.44147768	323000	1518	Q33	489984384	3	F	1	D	11	15/07/2024	colonized_bee	2	2
