SampleID	Strain	genome_depth_rarefaction	median_ab	lo	hi	sd	intercept	slope	adj.r2	pval	log10_slope	fit
3.SWT.2.C	ESL0024	1000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL0024	3000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL0024	5000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL0024	7000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL0024	9000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL0024	10000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL0024	15000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL1083	1000	28	16.475	37.525	5.80355168161809	-1.29311827956895	0.0276732365591398	0.993559235802619	0	-1.5579400444162	Linear fit
3.SWT.2.C	ESL1083	3000	82	68.95	98.05	7.91073302353815	-1.29311827956895	0.0276732365591398	0.993559235802619	0	-1.5579400444162	Linear fit
3.SWT.2.C	ESL1083	5000	136.5	117	156.1	9.7897648056271	-1.29311827956895	0.0276732365591398	0.993559235802619	0	-1.5579400444162	Linear fit
3.SWT.2.C	ESL1083	7000	190	169.475	211.575	11.2036925731085	-1.29311827956895	0.0276732365591398	0.993559235802619	0	-1.5579400444162	Linear fit
3.SWT.2.C	ESL1083	9000	247	220.95	269.525	11.8763154507982	-1.29311827956895	0.0276732365591398	0.993559235802619	0	-1.5579400444162	Linear fit
3.SWT.2.C	ESL1083	10000	277	254.475	298.525	11.2825779703296	-1.29311827956895	0.0276732365591398	0.993559235802619	0	-1.5579400444162	Linear fit
3.SWT.2.C	ESL1083	15000	416	400.475	430.525	8.27101547391231	-1.29311827956895	0.0276732365591398	0.993559235802619	0	-1.5579400444162	Linear fit
3.SWT.2.C	ESL1292	1000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL1292	3000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL1292	5000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL1292	7000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL1292	9000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL1292	10000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL1292	15000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL1056	1000	22	14	31	4.50017956993009	-0.336881720430544	0.0225047634408603	0.991972147528529	0	-1.64772554779411	Linear fit
3.SWT.2.C	ESL1056	3000	67	54.475	84.05	7.7240539939212	-0.336881720430544	0.0225047634408603	0.991972147528529	0	-1.64772554779411	Linear fit
3.SWT.2.C	ESL1056	5000	111	96.475	133.05	9.07813445882607	-0.336881720430544	0.0225047634408603	0.991972147528529	0	-1.64772554779411	Linear fit
3.SWT.2.C	ESL1056	7000	160	134.425	174	10.5613886062832	-0.336881720430544	0.0225047634408603	0.991972147528529	0	-1.64772554779411	Linear fit
3.SWT.2.C	ESL1056	9000	200	183.425	222	11.2276894373246	-0.336881720430544	0.0225047634408603	0.991972147528529	0	-1.64772554779411	Linear fit
3.SWT.2.C	ESL1056	10000	224	207.425	246	9.58687549821013	-0.336881720430544	0.0225047634408603	0.991972147528529	0	-1.64772554779411	Linear fit
3.SWT.2.C	ESL1056	15000	339	320.475	350.05	7.34667519110763	-0.336881720430544	0.0225047634408603	0.991972147528529	0	-1.64772554779411	Linear fit
3.SWT.2.C	ESL0199	1000	14	8.475	21	3.45795817607367	-0.0662365591399559	0.0147164731182796	0.988626452396693	0	-1.83219625853083	Linear fit
3.SWT.2.C	ESL0199	3000	43	34.475	56	6.11254712237315	-0.0662365591399559	0.0147164731182796	0.988626452396693	0	-1.83219625853083	Linear fit
3.SWT.2.C	ESL0199	5000	75	59.475	89	8.07375095884525	-0.0662365591399559	0.0147164731182796	0.988626452396693	0	-1.83219625853083	Linear fit
3.SWT.2.C	ESL0199	7000	104	85.9	118	8.15587413023784	-0.0662365591399559	0.0147164731182796	0.988626452396693	0	-1.83219625853083	Linear fit
3.SWT.2.C	ESL0199	9000	131	120	148.625	7.72164084723819	-0.0662365591399559	0.0147164731182796	0.988626452396693	0	-1.83219625853083	Linear fit
3.SWT.2.C	ESL0199	10000	147	129.475	162.05	7.67717330135187	-0.0662365591399559	0.0147164731182796	0.988626452396693	0	-1.83219625853083	Linear fit
3.SWT.2.C	ESL0199	15000	221	209	232.05	5.77436865235788	-0.0662365591399559	0.0147164731182796	0.988626452396693	0	-1.83219625853083	Linear fit
3.SWT.2.C	ESL1057	1000	48	35.475	59	6.42561163224831	0.347741935484383	0.0462505161290322	0.9966296114331	0	-1.33488341642246	Linear fit
3.SWT.2.C	ESL1057	3000	139	122.475	161.525	10.6363727013688	0.347741935484383	0.0462505161290322	0.9966296114331	0	-1.33488341642246	Linear fit
3.SWT.2.C	ESL1057	5000	231	206.425	260.05	12.5177651537503	0.347741935484383	0.0462505161290322	0.9966296114331	0	-1.33488341642246	Linear fit
3.SWT.2.C	ESL1057	7000	323	301.95	348.575	13.1338524739728	0.347741935484383	0.0462505161290322	0.9966296114331	0	-1.33488341642246	Linear fit
3.SWT.2.C	ESL1057	9000	416.5	392	438.525	13.783227986846	0.347741935484383	0.0462505161290322	0.9966296114331	0	-1.33488341642246	Linear fit
3.SWT.2.C	ESL1057	10000	461	434.9	490.05	13.5750811519795	0.347741935484383	0.0462505161290322	0.9966296114331	0	-1.33488341642246	Linear fit
3.SWT.2.C	ESL1057	15000	695.5	677.475	715.525	10.2989408105	0.347741935484383	0.0462505161290322	0.9966296114331	0	-1.33488341642246	Linear fit
3.SWT.2.C	ESL1291	1000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL1291	3000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL1291	5000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL1291	7000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL1291	9000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL1291	10000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL1291	15000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL1062	1000	54.5	43.475	70.525	7.00011543916357	0.409247311829336	0.0545205053763441	0.997056007527152	0	-1.2634401271378	Linear fit
3.SWT.2.C	ESL1062	3000	162	143	183.575	12.1451615672641	0.409247311829336	0.0545205053763441	0.997056007527152	0	-1.2634401271378	Linear fit
3.SWT.2.C	ESL1062	5000	272	249.425	305.525	13.7596394127054	0.409247311829336	0.0545205053763441	0.997056007527152	0	-1.2634401271378	Linear fit
3.SWT.2.C	ESL1062	7000	383	350	407.575	15.1648983318103	0.409247311829336	0.0545205053763441	0.997056007527152	0	-1.2634401271378	Linear fit
3.SWT.2.C	ESL1062	9000	493	463	516.05	15.0604002790649	0.409247311829336	0.0545205053763441	0.997056007527152	0	-1.2634401271378	Linear fit
3.SWT.2.C	ESL1062	10000	545	521.95	574.05	13.7918289379816	0.409247311829336	0.0545205053763441	0.997056007527152	0	-1.2634401271378	Linear fit
3.SWT.2.C	ESL1062	15000	819	793.425	839.525	11.9918954112999	0.409247311829336	0.0545205053763441	0.997056007527152	0	-1.2634401271378	Linear fit
3.SWT.2.C	ESL0198	1000	22	15.475	32.525	4.64387290475908	0.198387096774159	0.0228062258064516	0.992914036139698	0	-1.64194658000403	Linear fit
3.SWT.2.C	ESL0198	3000	67.5	54	81.525	8.13335196222407	0.198387096774159	0.0228062258064516	0.992914036139698	0	-1.64194658000403	Linear fit
3.SWT.2.C	ESL0198	5000	114	99	131.525	8.67376748732882	0.198387096774159	0.0228062258064516	0.992914036139698	0	-1.64194658000403	Linear fit
3.SWT.2.C	ESL0198	7000	161	141	174.575	9.27647181275992	0.198387096774159	0.0228062258064516	0.992914036139698	0	-1.64194658000403	Linear fit
3.SWT.2.C	ESL0198	9000	207	189	227	8.8667122350162	0.198387096774159	0.0228062258064516	0.992914036139698	0	-1.64194658000403	Linear fit
3.SWT.2.C	ESL0198	10000	227.5	211	249.675	9.89783671905997	0.198387096774159	0.0228062258064516	0.992914036139698	0	-1.64194658000403	Linear fit
3.SWT.2.C	ESL0198	15000	343	325.9	356.525	8.26935440177903	0.198387096774159	0.0228062258064516	0.992914036139698	0	-1.64194658000403	Linear fit
3.SWT.2.C	ESL1028	1000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL1028	3000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL1028	5000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL1028	7000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL1028	9000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL1028	10000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL1028	15000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL0094	1000	0	0	1	0.238683256575942	0.0221505376344099	5.4698924731183e-05	0.234261468868676	2.1731827739434e-42	-4.26202121092258	Highly variable
3.SWT.2.C	ESL0094	3000	0	0	1	0.38612291966537	0.0221505376344099	5.4698924731183e-05	0.234261468868676	2.1731827739434e-42	-4.26202121092258	Highly variable
3.SWT.2.C	ESL0094	5000	0	0	1	0.456048021572068	0.0221505376344099	5.4698924731183e-05	0.234261468868676	2.1731827739434e-42	-4.26202121092258	Highly variable
3.SWT.2.C	ESL0094	7000	0	0	1	0.501613558046592	0.0221505376344099	5.4698924731183e-05	0.234261468868676	2.1731827739434e-42	-4.26202121092258	Highly variable
3.SWT.2.C	ESL0094	9000	0	0	1	0.502116731568678	0.0221505376344099	5.4698924731183e-05	0.234261468868676	2.1731827739434e-42	-4.26202121092258	Highly variable
3.SWT.2.C	ESL0094	10000	1	0	1	0.496044963748858	0.0221505376344099	5.4698924731183e-05	0.234261468868676	2.1731827739434e-42	-4.26202121092258	Highly variable
3.SWT.2.C	ESL0094	15000	1	0	1	0.377525168068637	0.0221505376344099	5.4698924731183e-05	0.234261468868676	2.1731827739434e-42	-4.26202121092258	Highly variable
3.SWT.2.C	ESL0284	1000	0	0	1	0.272659924344291	0.00784946236558977	5.13010752688177e-05	0.213285083226609	2.84043400011405e-38	-4.28987353199501	Highly variable
3.SWT.2.C	ESL0284	3000	0	0	1	0.358870281282637	0.00784946236558977	5.13010752688177e-05	0.213285083226609	2.84043400011405e-38	-4.28987353199501	Highly variable
3.SWT.2.C	ESL0284	5000	0	0	1	0.42295258468165	0.00784946236558977	5.13010752688177e-05	0.213285083226609	2.84043400011405e-38	-4.28987353199501	Highly variable
3.SWT.2.C	ESL0284	7000	0	0	1	0.460566186471838	0.00784946236558977	5.13010752688177e-05	0.213285083226609	2.84043400011405e-38	-4.28987353199501	Highly variable
3.SWT.2.C	ESL0284	9000	0.5	0	1	0.502518907629606	0.00784946236558977	5.13010752688177e-05	0.213285083226609	2.84043400011405e-38	-4.28987353199501	Highly variable
3.SWT.2.C	ESL0284	10000	1	0	1	0.48523658709391	0.00784946236558977	5.13010752688177e-05	0.213285083226609	2.84043400011405e-38	-4.28987353199501	Highly variable
3.SWT.2.C	ESL0284	15000	1	0	1	0.446196043338474	0.00784946236558977	5.13010752688177e-05	0.213285083226609	2.84043400011405e-38	-4.28987353199501	Highly variable
3.SWT.2.C	ESL0868	1000	0	0	1	0.337997668989631	0.0249462365591426	0.000107107526881721	0.368034218126409	1.37374953001579e-71	-3.97018000845539	Highly variable
3.SWT.2.C	ESL0868	3000	0	0	1.52499999999999	0.55048188256318	0.0249462365591426	0.000107107526881721	0.368034218126409	1.37374953001579e-71	-3.97018000845539	Highly variable
3.SWT.2.C	ESL0868	5000	0	0	2	0.593823427145025	0.0249462365591426	0.000107107526881721	0.368034218126409	1.37374953001579e-71	-3.97018000845539	Highly variable
3.SWT.2.C	ESL0868	7000	1	0	2	0.71484970518991	0.0249462365591426	0.000107107526881721	0.368034218126409	1.37374953001579e-71	-3.97018000845539	Highly variable
3.SWT.2.C	ESL0868	9000	1	0	2	0.728288432150367	0.0249462365591426	0.000107107526881721	0.368034218126409	1.37374953001579e-71	-3.97018000845539	Highly variable
3.SWT.2.C	ESL0868	10000	1	0	2	0.710669054518701	0.0249462365591426	0.000107107526881721	0.368034218126409	1.37374953001579e-71	-3.97018000845539	Highly variable
3.SWT.2.C	ESL0868	15000	2	0.475	2	0.54855181241984	0.0249462365591426	0.000107107526881721	0.368034218126409	1.37374953001579e-71	-3.97018000845539	Highly variable
3.SWT.2.C	ESL0142	1000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL0142	3000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL0142	5000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL0142	7000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL0142	9000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL0142	10000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL0142	15000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL0309	1000	194	170.475	218.05	12.6563394902685	-2.45440860214934	0.195289817204301	0.999338312684512	0	-0.709320401091434	Linear fit
3.SWT.2.C	ESL0309	3000	586.5	549.475	618.525	18.975994936719	-2.45440860214934	0.195289817204301	0.999338312684512	0	-0.709320401091434	Linear fit
3.SWT.2.C	ESL0309	5000	968.5	928.275	1012.1	23.5167574037723	-2.45440860214934	0.195289817204301	0.999338312684512	0	-0.709320401091434	Linear fit
3.SWT.2.C	ESL0309	7000	1365	1322.9	1415.525	24.1438366562742	-2.45440860214934	0.195289817204301	0.999338312684512	0	-0.709320401091434	Linear fit
3.SWT.2.C	ESL0309	9000	1755	1704.475	1799.525	26.431682473574	-2.45440860214934	0.195289817204301	0.999338312684512	0	-0.709320401091434	Linear fit
3.SWT.2.C	ESL0309	10000	1947.5	1908.475	1998.575	26.4833929285902	-2.45440860214934	0.195289817204301	0.999338312684512	0	-0.709320401091434	Linear fit
3.SWT.2.C	ESL0309	15000	2929	2888.95	2955	17.4443386086991	-2.45440860214934	0.195289817204301	0.999338312684512	0	-0.709320401091434	Linear fit
3.SWT.2.C	ESL0177	1000	0	0	0	0	NA	NA	NA	NA	NA	NA
3.SWT.2.C	ESL0177	3000	0	0	0	0	NA	NA	NA	NA	NA	NA
