cluster	sequence	taxonomy_full	taxonomy_genus	genus_species	strain	taxonomy_species	use_to_quantify
Cluster0	ESL0183_ASV3_x1_copy1	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;s__Lactobacillus helsingborgensis	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;	Lactobacillus helsingborgensis-ESL0183-Cluster0	ESL0183	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;s__helsingborgensis	TRUE
Cluster1	ESL0183_ASV7_x1_copy1	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;s__Lactobacillus helsingborgensis	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;	Lactobacillus helsingborgensis-ESL0183-Cluster1	ESL0183	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;s__helsingborgensis	TRUE
Cluster2	ESL0183_ASV6_x1_copy1	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;s__Lactobacillus helsingborgensis	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;	Lactobacillus helsingborgensis-ESL0183-Cluster2	ESL0183	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;s__helsingborgensis	TRUE
Cluster3	ESL0183_ASV5_x1_copy1	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;s__Lactobacillus helsingborgensis	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;	Lactobacillus helsingborgensis-ESL0183-Cluster3	ESL0183	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;s__helsingborgensis	TRUE
Cluster4	ESL0184_ASV76_x1_copy1	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;s__Lactobacillus melliventris	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;	Lactobacillus melliventris-ESL0184-Cluster4	ESL0184	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;s__melliventris	TRUE
Cluster5	ESL0184_ASV87_x1_copy1	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;s__Lactobacillus melliventris	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;	Lactobacillus melliventris-ESL0184-Cluster5	ESL0184	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;s__melliventris	TRUE
Cluster6	ESL0184_ASV90_x1_copy1	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;s__Lactobacillus melliventris	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;	Lactobacillus melliventris-ESL0184-Cluster6	ESL0184	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;s__melliventris	TRUE
Cluster7	ESL0184_ASV98_x1_copy1	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;s__Lactobacillus melliventris	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;	Lactobacillus melliventris-ESL0184-Cluster7	ESL0184	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;s__melliventris	TRUE
Cluster8	ESL0186_ASV42_x2_copy1	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;s__Lactobacillus kullabergensis	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;	Lactobacillus kullabergensis-ESL0186-Cluster8	ESL0186	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;s__kullabergensis	TRUE
Cluster8	ESL0186_ASV42_x2_copy2	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;s__Lactobacillus kullabergensis	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;	Lactobacillus kullabergensis-ESL0186-Cluster8	ESL0186	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;s__kullabergensis	TRUE
Cluster9	ESL0186_ASV14_x2_copy1	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;s__Lactobacillus kullabergensis	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;	Lactobacillus kullabergensis-ESL0186-Cluster9	ESL0186	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;s__kullabergensis	TRUE
Cluster9	ESL0186_ASV14_x2_copy2	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;s__Lactobacillus kullabergensis	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;	Lactobacillus kullabergensis-ESL0186-Cluster9	ESL0186	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;Lactobacillus;s__kullabergensis	TRUE
